Time	desiged rainfall
min	mm/min
1 	0.001155621
2 	0.001234774
3 	0.001318982
4 	0.001408542
5 	0.001503764
6 	0.001604979
7 	0.00171253
8 	0.00182678
9 	0.001948111
10 	0.002076925
11 	0.00221364
12 	0.0023587
13 	0.002512567
14 	0.002675728
15 	0.002848693
16 	0.003031997
17 	0.0032262
18 	0.003431888
19 	0.003649675
20 	0.003880206
21 	0.004124152
22 	0.004382217
23 	0.004655138
24 	0.004943682
25 	0.005248653
26 	0.00557089
27 	0.005911268
28 	0.006270701
29 	0.006650142
30 	0.007050584
31 	0.007473062
32 	0.007918656
33 	0.008388489
34 	0.00888373
35 	0.009405596
36 	0.009955353
37 	0.010534317
38 	0.011143855
39 	0.011785388
40 	0.012460391
41 	0.013170395
42 	0.01391699
43 	0.014701824
44 	0.015526603
45 	0.016393099
46 	0.017303144
47 	0.018258637
48 	0.019261541
49 	0.02031389
50 	0.021417783
51 	0.022575391
52 	0.023788958
53 	0.0250608
54 	0.026393306
55 	0.027788943
56 	0.029250253
57 	0.030779855
58 	0.032380451
59 	0.034054819
60 	0.035805819
61 	0.037636395
62 	0.039549572
63 	0.041548459
64 	0.043636249
65 	0.045816221
66 	0.04809174
67 	0.050466254
68 	0.052943301
69 	0.055526502
70 	0.058219569
71 	0.061026297
72 	0.063950569
73 	0.066996354
74 	0.070167708
75 	0.073468771
76 	0.076903768
77 	0.080477009
78 	0.084192886
79 	0.088055874
80 	0.092070526
81 	0.096241478
82 	0.10057344
83 	0.105071199
84 	0.109739616
85 	0.114583621
86 	0.119608217
87 	0.124818468
88 	0.130219507
89 	0.135816522
90 	0.141614762
91 	0.147619528
92 	0.15383617
93 	0.160270086
94 	0.166926713
95 	0.173811528
96 	0.180930038
97 	0.18828778
98 	0.195890313
99 	0.20374321
100 	0.211852061
101 	0.220222458
102 	0.228859992
103 	0.23777025
104 	0.246958805
105 	0.256431207
106 	0.266192981
107 	0.276249619
108 	0.286606567
109 	0.297269224
110 	0.30824293
111 	0.31953296
112 	0.331144512
113 	0.343082705
114 	0.355352562
115 	0.367959008
116 	0.380906856
117 	0.394200802
118 	0.40784541
119 	0.421845109
120 	0.436204177
121 	0.450926734
122 	0.466016732
123 	0.481477947
124 	0.497313961
125 	0.513528163
126 	0.530123728
127 	0.547103614
128 	0.564470547
129 	0.582227013
130 	0.600375248
131 	0.618917225
132 	0.637854645
133 	0.657188929
134 	0.676921202
135 	0.697052289
136 	0.717582703
137 	0.738512632
138 	0.759841933
139 	0.781570122
140 	0.803696363
141 	0.82621946
142 	0.849137849
143 	0.872449587
144 	0.896152347
145 	0.920243406
146 	0.94471964
147 	0.969577518
148 	0.994813093
149 	1.020421993
150 	1.046399422
151 	1.072740148
152 	1.099438499
153 	1.126488362
154 	1.153883174
155 	1.181615922
156 	1.209679138
157 	1.238064897
158 	1.266764815
159 	1.295770047
160 	1.325071289
161 	1.354658772
162 	1.384522271
163 	1.414651099
164 	1.445034111
165 	1.475659708
166 	1.50651584
167 	1.537590008
168 	1.56886927
169 	1.600340246
170 	1.631989127
171 	1.663801675
172 	1.695763238
173 	1.727858754
174 	1.760072761
175 	1.792389407
176 	1.824792461
177 	1.857265323
178 	1.889791037
179 	1.922352303
180 	1.95493149
181 	1.987510653
182 	2.020071541
183 	2.052595623
184 	2.085064091
185 	2.11745789
186 	2.149757725
187 	2.181944083
188 	2.213997254
189 	2.245897345
190 	2.277624303
191 	2.309157934
192 	2.340477924
193 	2.37156386
194 	2.40239525
195 	2.432951549
196 	2.463212176
197 	2.493156539
198 	2.52276406
199 	2.552014194
200 	2.580886456
201 	2.609360441
202 	2.637415852
203 	2.665032521
204 	2.692190433
205 	2.71886975
206 	2.745050835
207 	2.770714279
208 	2.79584092
209 	2.82041187
210 	2.844408535
211 	2.867812643
212 	2.890606266
213 	2.912771838
214 	2.934292185
215 	2.955150541
216 	2.975330572
217 	2.9948164
218 	3.013592617
219 	3.031644312
220 	3.048957089
221 	3.065517082
222 	3.081310981
223 	3.096326041
224 	3.110550108
225 	3.123971627
226 	3.136579664
227 	3.14836392
228 	3.15931474
229 	3.169423132
230 	3.178680777
231 	3.18708004
232 	3.194613981
233 	3.201276364
234 	3.207061668
235 	3.21196509
236 	3.215982557
237 	3.219110727
238 	3.221346997
239 	3.222689504
240 	3.223137131
241 	3.222689504
242 	3.221346997
243 	3.219110727
244 	3.215982557
245 	3.21196509
246 	3.207061668
247 	3.201276364
248 	3.194613981
249 	3.18708004
250 	3.178680777
251 	3.169423132
252 	3.15931474
253 	3.14836392
254 	3.136579664
255 	3.123971627
256 	3.110550108
257 	3.096326041
258 	3.081310981
259 	3.065517082
260 	3.048957089
261 	3.031644312
262 	3.013592617
263 	2.9948164
264 	2.975330572
265 	2.955150541
266 	2.934292185
267 	2.912771838
268 	2.890606266
269 	2.867812643
270 	2.844408535
271 	2.82041187
272 	2.79584092
273 	2.770714279
274 	2.745050835
275 	2.71886975
276 	2.692190433
277 	2.665032521
278 	2.637415852
279 	2.609360441
280 	2.580886456
281 	2.552014194
282 	2.52276406
283 	2.493156539
284 	2.463212176
285 	2.432951549
286 	2.40239525
287 	2.37156386
288 	2.340477924
289 	2.309157934
290 	2.277624303
291 	2.245897345
292 	2.213997254
293 	2.181944083
294 	2.149757725
295 	2.11745789
296 	2.085064091
297 	2.052595623
298 	2.020071541
299 	1.987510653
300 	1.95493149
301 	1.922352303
302 	1.889791037
303 	1.857265323
304 	1.824792461
305 	1.792389407
306 	1.760072761
307 	1.727858754
308 	1.695763238
309 	1.663801675
310 	1.631989127
311 	1.600340246
312 	1.56886927
313 	1.537590008
314 	1.50651584
315 	1.475659708
316 	1.445034111
317 	1.414651099
318 	1.384522271
319 	1.354658772
320 	1.325071289
321 	1.295770047
322 	1.266764815
323 	1.238064897
324 	1.209679138
325 	1.181615922
326 	1.153883174
327 	1.126488362
328 	1.099438499
329 	1.072740148
330 	1.046399422
331 	1.020421993
332 	0.994813093
333 	0.969577518
334 	0.94471964
335 	0.920243406
336 	0.896152347
337 	0.872449587
338 	0.849137849
339 	0.82621946
340 	0.803696363
341 	0.781570122
342 	0.759841933
343 	0.738512632
344 	0.717582703
345 	0.697052289
346 	0.676921202
347 	0.657188929
348 	0.637854645
349 	0.618917225
350 	0.600375248
351 	0.582227013
352 	0.564470547
353 	0.547103614
354 	0.530123728
355 	0.513528163
356 	0.497313961
357 	0.481477947
358 	0.466016732
359 	0.450926734
360 	0.436204177
361 	0.421845109
362 	0.40784541
363 	0.394200802
364 	0.380906856
365 	0.367959008
366 	0.355352562
367 	0.343082705
368 	0.331144512
369 	0.31953296
370 	0.30824293
371 	0.297269224
372 	0.286606567
373 	0.276249619
374 	0.266192981
375 	0.256431207
376 	0.246958805
377 	0.23777025
378 	0.228859992
379 	0.220222458
380 	0.211852061
381 	0.20374321
382 	0.195890313
383 	0.18828778
384 	0.180930038
385 	0.173811528
386 	0.166926713
387 	0.160270086
388 	0.15383617
389 	0.147619528
390 	0.141614762
391 	0.135816522
392 	0.130219507
393 	0.124818468
394 	0.119608217
395 	0.114583621
396 	0.109739616
397 	0.105071199
398 	0.10057344
399 	0.096241478
400 	0.092070526
401 	0.088055874
402 	0.084192886
403 	0.080477009
404 	0.076903768
405 	0.073468771
406 	0.070167708
407 	0.066996354
408 	0.063950569
409 	0.061026297
410 	0.058219569
411 	0.055526502
412 	0.052943301
413 	0.050466254
414 	0.04809174
415 	0.045816221
416 	0.043636249
417 	0.041548459
418 	0.039549572
419 	0.037636395
420 	0.035805819
421 	0.034054819
422 	0.032380451
423 	0.030779855
424 	0.029250253
425 	0.027788943
426 	0.026393306
427 	0.0250608
428 	0.023788958
429 	0.022575391
430 	0.021417783
431 	0.02031389
432 	0.019261541
433 	0.018258637
434 	0.017303144
435 	0.016393099
436 	0.015526603
437 	0.014701824
438 	0.01391699
439 	0.013170395
440 	0.012460391
441 	0.011785388
442 	0.011143855
443 	0.010534317
444 	0.009955353
445 	0.009405596
446 	0.00888373
447 	0.008388489
448 	0.007918656
449 	0.007473062
450 	0.007050584
451 	0.006650142
452 	0.006270701
453 	0.005911268
454 	0.00557089
455 	0.005248653
456 	0.004943682
457 	0.004655138
458 	0.004382217
459 	0.004124152
460 	0.003880206
461 	0.003649675
462 	0.003431888
463 	0.0032262
464 	0.003031997
465 	0.002848693
466 	0.002675728
467 	0.002512567
468 	0.0023587
469 	0.00221364
470 	0.002076925
471 	0.001948111
472 	0.00182678
473 	0.00171253
474 	0.001604979
475 	0.001503764
476 	0.001408542
477 	0.001318982
478 	0.001234774
479 	0.001155621
480 	0.001081242
